Factura,Fecha,Pedido No,Referencia,Producto,Cantidad,Precio Unit.,Descuento,Valor Total,Archivo,Fecha Proceso
CPFE-600001,2025-12-15 18:42:43,PV03678314,5S9F17110000,TAPA LAT 1 YW125/09,2.00,"$25,378",0.01,"$50,756",71459.pdf,20/12/2025 23:03
,,PV03679240,BF7F31450000,RETENEDOR ACEITE YB125ZR B7H1,5.00,"$24,622",0.01,"$123,110",,
,,,B97F470E0100,BASE SILLIN COMPL FZ25 B8VL DEL,1.00,"$33,800",0.01,$0,,
,,,B97F171A0000,CUBIER SUP TANQU GAS FZN250,5.00,"$32,110",0.01,$0,,
,,,905084080100,RESORTE TORSION YBR125E 1BV1,2.00,"$17,563",0.01,$0,,
,,,905063280000,RESORTE GATO CENTRAL 5P42,5.00,"$33,370",0.01,$0,,
,,,905062980000,RESORTE GATO LATERAL 5P42,4.00,"$2,185",0.01,"$8,740",,
,,,904802518900,CAUCHO TANQUE GASOLINA RX115,2.00,"$4,200",0.01,$0,,
,,,902011755800,ARANDELA PRENSA CLUTCH RXS-115,10.00,"$4,790",0.01,"$47,900",,
,,,901520400600,TORNILLO EMBLEMA RX100/RXS115,5.00,"$13,800",0.01,"$65,550",,
,,,5VLF73110000,GATO LATERAL YBR125E 1BV1,10.00,$504,0.01,"$5,040",,
,,,5VLF45002000,LLAVE PASO GASOLINA /YD125,1.00,"$25,400",0.01,"$25,400",,
,,,5UAF62400100,JGO MANILAR YW125 4B41/4B51,1.00,"$58,000",0.01,"$58,000",,
,,,5MLF62410100,MANILAR IZQ YW125 4B41/4B51,5.00,"$7,899",0.01,"$39,495",,
,,,5GEF53870000,EJE PORTA SPROKET T110/RX115,5.00,"$5,630",0.01,"$28,150",,
,,,4X8851271000,BASE REFLECTIVA RX115/RXS115,2.00,"$25,000",0.01,"$47,500",,
,,,4X8851270000,BASE REFLECTIVA RX115/RXS115,5.00,"$14,538",0.01,"$72,690",,
,,,45DGUIASAIRE,JGO GUIAS DE AIRE FZ 16,5.00,"$15,294",0.01,"$76,470",,
,,,36LF45000900,LLAVE PASO GAS RX100,2.00,"$25,400",0.01,"$50,800",,
,,,2JSW00450000,JGO PASTAS FRENO 4B41/51YW125,2.00,"$38,571",0.01,"$77,142",,
,,,2DPF58050000,JGO PASTAS FRENO DEL N-MAX BC21,1.00,"$69,580",0.01,"$69,580",,
,,,21CH47100000,STOP FZ-16,2.00,"$46,900",0.01,"$93,800",,
,,,21CF171AW000,TAPA SUP TANQ GA S PINTA FZ-16,1.00,"$42,300",0.01,"$42,300",,
,,,131161540000,ARANDELA MANZANA RX115/RXS115,2.00,"$33,277",0.01,"$66,554",,
CPFE-600001,2025-12-04 16:39:36,PV03666993,B6HH23100200,BOBINA ENCENDIDO BBE3 NMAX,2.00,"$63,697",1,$0,70034.pdf,21/12/2025 08:33
,,,B6HF1721W000,TAPA LAT DER SIN PINTAR NMAX ABS BBE1,2.00,"$40,100",0,$0,,
,,,B6HF1711W000,TAPA LAT IZQ SIN PINTAR NMAX ABS BBE1,2.00,"$33,400",0,$0,,
,,,990094250000,PRESILLA SEGURO EJE P.PAL YA90/YW100,4.00,"$5,800",0,$0,,
,,,941131380900,LLANTA TRASERA 130/70-13 NMAX ABS BBE1,1.00,"$233,193",5,$0,,
,,,941111380300,LLANTA DELANTERA 110/70-13 NMAX ABS BBE1,1.00,"$179,748",0,$0,,
,,,904504480300,ABRAZADERA UNION CARBU FZ-16,6.00,"$4,400",0,$0,,
,,,903871581300,BUJE TIJERA YW125X 2DU,2.00,"$15,900",5,$0,,
,,,902690680600,REMACHE PANEL YW125/09 NMAX,10.00,"$2,269",0,$0,,
,,,901110604300,TORNILLO,5.00,"$5,800",0,$0,,
,,,5S9F33400000,HORQUILLA INF YW125/09,2.00,"$206,891",0,$0,,
,,,5JSE46170000,ARANDELA MOFLE YW125/09,5.00,"$1,933",0,$0,,
,,,2JSF33400000,HORQUILLA INF BA51/53 YW125,2.00,"$292,101",5,$0,,
,,,2DUH39630300,COMANDO IZQ YW125DX,5.00,"$96,891",0,$0,,
,,,2CBH33110000,BOMBILLO DIR DEL IZQ NMAX BC21 (12V-10W),5.00,"$6,600",0,$0,,
,,,21CH18000000,MOTOR ARRANQUE FZ-16ST 1EP1 45D1/45D2,1.00,"$279,580",5,$0,,
,,,21CE44530000,UNION FILTRO AIRE FZ-16,1.00,"$53,361",0,$0,,
,,,21CE35860100,UNION CARBURADOR FZ-16,4.00,"$9,664",0,$0,,
CPFE-600001 al CPFE-1300000,2025-10-21 15:54:37,PV03602772,,PEDAL CAMBIOS T110E T110ED,1.00,"$125,300",0.01,$0,p1.pdf,11/01/2026 20:14
,,,,COMPLEMENTO G/FANGO TRAS RX100,2.00,"$16,134",0.01,$0,,
,,,,GUARDAPIERNA IZQ SIN PINTAR T110,5.00,"$94,622",0.01,$0,,
,,PV03614786,902010638000,ARANDELA PLANA STOP YBR250,1.00,$504,0.05,$479,,
,,PV03620978,21CF1730W100,JGO TAPA LAT TRAS SIN PINTAR FZ16(F1731-F1741 PAR),2.00,"$46,555",0.05,"$93,110",,
,,,BK3F17370000,DIAPASON GOTA CEPILLA 25MM BK3,30.00,"$1,500",0.05,"$42,750",,
,,,BA4TAPASLATO,JGO TAPAS LATERALES YW125 FI,5.00,"$27,000",0.05,"$135,000",,
,,,B6YH33710100,PITO NMAX ABS BBE1,2.00,"$66,900",0.05,"$133,800",,
,,,B6HH47400000,LUZ PLACA NMAX ABS BBE1,2.00,"$34,118",0.05,"$68,236",,
,,,B6HF74A80000,TAPA PROTECTOR NMAX ABS BBE1,2.00,"$8,900",0.05,"$16,910",,
,,,B6HF74840000,TAPETE 2 REPOSAPIE SUP DER NMAX CONNECTED,3.00,"$8,400",0.05,"$23,940",,
,,,B6HF74830000,TAPETE 1 REPOSAPIE SUP IZQ NMAX CONNECTED,4.00,"$11,600",0.05,"$44,080",,
,,,B6HF62400000,JGO MANILAR NMAX ABS BBE1,3.00,"$9,400",0.05,"$28,200",,
,,,B6HF1741W000,TAPA LAT INF DER SIN PINTAR NMAX ABS BBE1,1.00,"$64,000",0.05,"$64,000",,
,,,B6HF1731W000,TAPA LAT INF IZQ SIN PINTAR NMAX ABS BBE1,1.00,"$60,400",0.05,"$60,400",,
,,,B6HF171MW000,MUELLE TAPA LAT 2 DER NMAX ABS BBE1,1.00,"$30,500",0.05,"$30,500",,
,,,B6HF171LW000,MUELLE TAPA LAT IZQ NMAX ABS BBE1,2.00,"$38,000",0.05,"$76,000",,
,,,B6HE76740000,BUJE NMAX ABS BBE1,2.00,"$20,588",0.05,"$39,117",,
,,,B6HE44111000,CAJA FILTRO AIRE NMAX ABS BBE1,7.00,"$42,857",0.05,"$299,999",,
,,,B6HE 13510000,EMPAQUE CILINDRO NMAX ABS BBE1,2.00,"$4,538",0.05,"$8,622",,
,,,B65E66260000,RESORTE CLUTCH NMAX ABS BBE1,6.00,"$1,681",0.05,"$9,582",,
,,,990091540000,PIN CAND EJE CRANCK YD110/T115,10.00,$756,0.05,"$7,182",,
,,,904461380300,MANGUERA PROTECTOR YW125/09,20.00,"$1,345",0.05,"$26,900",,
,,,5YYH21311000,CORREA BATERIA 5P42,10.00,"$1,681",0.05,"$15,969",,
,,,5UAF62400100,JGO MANILAR YW125 4B41/4B51,3.00,"$7,899",0.05,"$23,697",,
,,,5TYE55700100,EMBRAGUE ARRANQUE YW125/09,8.00,"$140,000",0.05,"$1,120,000",,
,,,5S9H43010200,FAROLA PEQUEÑA YW125/09,4.00,"$38,655",0.05,"$154,620",,
,,,5S9F63510100,CABLE FRENO TRAS YW125/09,5.00,"$25,714",0.05,"$128,570",,
,,,5S9F51900000,PINON VELOCIMETRO YW125/09,2.00,"$71,933",0.05,"$143,866",,
,,,5S9F478E0100,CABLE SEGURO SILLIN YW125/09,2.00,"$21,261",0.05,"$40,396",,
,,,5S9F34610200,SOPORTE MANUBRIO YW125/09,2.00,"$63,025",0.05,"$126,050",,
,,,5S9F31410000,RESORTE SUSPENSION YW125/09,6.00,"$12,353",0.05,"$70,412",,
,,,5S9F13980000,PORTACASCO YW125/09,18.00,"$3,950",0.05,"$67,545",,
CPFE-600001,2025-10-21 15:54:37,PV03602772,4STE81110000,PEDAL CAMBIOS T110E T110ED,1.00,"$125,300",1,$0,PruebaJu.pdf,23/02/2026 19:54
,,,36LF16290000,COMPLEMENTO G/FANGO TRAS RX100,2.00,"$16,134",1,$0,,
,,,4YSF8311W000,GUARDAPIERNA IZQ SIN PINTAR T110,5.00,"$119,035",1,$0,,
,,PV03614786,902010638000,ARANDELA PLANA STOP YBR250,1.00,$504,5,$479,,
,,PV03620978,21CF1730W100,JGO TAPA LAT TRAS SIN PINTAR FZ16(F1731-F1741 PAR),2.00,"$46,555",5,"$93,110",,
,,,BK3F17370000,DIAPASON GOTA CEPILLA 25MM BK3,30.00,"$1,500",5,"$42,750",,
,,,BA4TAPASLATO,JGO TAPAS LATERALES YW125 FI,5.00,"$27,000",5,"$135,000",,
,,,B6YH33710100,PITO NMAX ABS BBE1,2.00,"$66,900",5,"$133,800",,
,,,B6HH47400000,LUZ PLACA NMAX ABS BBE1,2.00,"$34,118",5,"$68,236",,
,,,B6HF74A80000,TAPA PROTECTOR NMAX ABS BBE1,2.00,"$8,900",5,"$16,910",,
,,,B6HF74840000,TAPETE 2 REPOSAPIE SUP DER NMAX CONNECTED,3.00,"$8,400",5,"$23,940",,
,,,B6HF74830000,TAPETE 1 REPOSAPIE SUP IZQ NMAX CONNECTED,4.00,"$11,600",5,"$44,080",,
,,,B6HF62400000,JGO MANILAR NMAX ABS BBE1,3.00,"$9,400",5,"$28,200",,
,,,B6HF1741W000,TAPA LAT INF DER SIN PINTAR NMAX ABS BBE1,1.00,"$64,000",5,"$64,000",,
,,,B6HF1731W000,TAPA LAT INF IZQ SIN PINTAR NMAX ABS BBE1,1.00,"$60,400",5,"$60,400",,
,,,B6HF171MW000,MUELLE TAPA LAT 2 DER NMAX ABS BBE1,1.00,"$30,500",5,"$30,500",,
,,,B6HF171LW000,MUELLE TAPA LAT IZQ NMAX ABS BBE1,2.00,"$38,000",5,"$76,000",,
,,,B6HE76740000,BUJE NMAX ABS BBE1,2.00,"$20,588",5,"$39,117",,
,,,B65E66260000,CAJA FILTRO AIRE NMAX ABS BBE1,7.00,"$42,857",5,"$299,999",,
,,,990091540000,EMPAQUE CILINDRO NMAX ABS BBE1,2.00,"$4,538",5,"$8,622",,
,,,904461380300,RESORTE CLUTCH NMAX ABS BBE1,6.00,"$1,681",5,"$9,582",,
,,,5YYH21311000,PIN CAND EJE CRANCK YD110/T115,10.00,$756,5,"$7,182",,
,,,B6HE44111000,MANGUERA PROTECTOR YW125/09,20.00,"$1,345",5,"$26,900",,
,,,B6HE 13510000,CORREA BATERIA 5P42,10.00,"$1,681",5,"$15,969",,
,,,5UAF62400100,JGO MANILAR YW125 4B41/4B51,3.00,"$7,899",5,"$23,697",,
,,,5TYE55700100,EMBRAGUE ARRANQUE YW125/09,8.00,"$140,000",5,"$1,120,000",,
,,,5S9H43010200,FAROLA PEQUEÑA YW125/09,4.00,"$38,655",5,"$154,620",,
,,,5S9F63510100,CABLE FRENO TRAS YW125/09,5.00,"$25,714",5,"$128,570",,
,,,5S9F51900000,PINON VELOCIMETRO YW125/09,2.00,"$71,933",5,"$143,866",,
,,,5S9F478E0100,CABLE SEGURO SILLIN YW125/09,2.00,"$21,261",5,"$40,396",,
,,,5S9F34610200,SOPORTE MANUBRIO YW125/09,2.00,"$63,025",5,"$126,050",,
,,,5S9F31410000,RESORTE SUSPENSION YW125/09,6.00,"$12,353",5,"$70,412",,
,,,5S9F13980000,PORTACASCO YW125/09,18.00,"$3,950",5,"$67,545",,